naam,invalshoeken,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,fotocontrole CP,fotocontrole,beelden klaar,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,Italiaans postmodernisme,1997-0016_2-2,niet-publiek,beschrijving nakijken,,,,ok,1997-0016_2-2,"Sottsass, Ettore (junior)*Zanotta",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2002-0042,niet-publiek,ok,,,,ok,2002-0042$1;2002-0042$2,"Sottsass, Ettore (junior)*Alessi",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2002-0049,niet-publiek,ok,,,,ok,2002-0049,"Sottsass, Ettore (junior)*Alessi",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2002-0135,niet-publiek,ok,,,,ok,2002-0135,"Sottsass, Ettore (junior)*Alessi",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2005-0149,niet-publiek,ok (zonder beschrijving),,,foto nemen,x,,"Sottsass, Ettore (junior)",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2005-0150,niet-publiek,ok,,,,ok,2005-0150,"Sottsass, Ettore (junior)*Cirva",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2008-0089,niet-publiek,ok,,,,ok,2008-0089,"Sottsass, Ettore (junior)*Serafino Zani",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2008-0090,niet-publiek,ok,,,foto nemen,x,,"Sottsass, Ettore (junior)*Serafino Zani",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2008-0154,niet-publiek,ok,,,,ok,2008-0154,"Sottsass, Ettore (junior)*Cenedese",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2008-0155,niet-publiek,ok,,,,ok,2008-0155,"Sottsass, Ettore (junior)*Cenedese",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2008-0156,niet-publiek,ok,,,,ok,2008-0156,"Sottsass, Ettore (junior)*Cenedese",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2008-0157,niet-publiek,ok,,,,ok,2008-0157,"Sottsass, Ettore (junior)*Cenedese",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2011-0034,niet-publiek,ok,,,,ok,2011-0034$1,"Sottsass, Ettore (junior)*Memphis*Toso Vetri d'Arte",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,2011-0035,niet-publiek,ok,,,,ok,2011-0035,"Sottsass, Ettore (junior)*Memphis*Toso Vetri d'Arte",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,3958,niet-publiek,beschrijving nakijken,,,,ok,3958,"Sottsass, Ettore (junior)*Artemide*Memphis",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,4673,niet-publiek,ok,,,,ok,4673$2,"Sottsass, Ettore (junior)*Memphis*Rainbow*Copi",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,4674,niet-publiek,ok,,,,ok,4674$2,"Sottsass, Ettore (junior)*Memphis*Rainbow*Copi",ok,Ettore Sottsass Jr.,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,Italiaans postmodernisme,DMG_T_00294_ORANJE,niet-publiek,/,,,,,,"Alessi*Sottsass, Ettore (junior)*Castiglioni, Achille",ok,Ettore Sottsass Jr.; Achille Castiglioni,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe/Eva,Italiaans postmodernisme,1985-0061_0-2,publiek,ok,,,ok,ok,1985-0061_0-2$1,"Graves, Michael*Memphis",ok,Michael Graves Design Group,ok 2022-05-31,ok 2022-05-31,,JA
Ianthe/Eva,Italiaans postmodernisme,1985-0061_1-2,niet-publiek,ok,,,ok,ok,1985-0061_1-2,"Graves, Michael*Memphis",ok,Michael Graves Design Group,ok 2023-07-07,nvt,,JA
Ianthe/Eva,Italiaans postmodernisme,1985-0061_2-2,niet-publiek,ok,,,ok,ok,1985-0061_2-2,"Graves, Michael*Memphis",ok,Michael Graves Design Group,ok 2023-07-07,nvt,,JA
Ianthe,Italiaans postmodernisme,1987-0012,publiek,ok,,,,ok,1987-0012$1,"De Lucchi, Michele*Memphis*Flavia Montelupo Eno",ok,Michele De Lucchi,ok 2022-05-31,ok 2022-05-31,,
Ianthe/Eva,Italiaans postmodernisme,1987-0013,publiek,ok,,,ok,ok,1987-0013,"Du Pasquier, Nathalie*Memphis*Flavia Montelupo Eno",ok,Nathalie Du Pasquier,ok 2022-05-09,ok 2022-05-09,,JA
Ianthe,Italiaans postmodernisme,1987-0015,publiek,ok,,,fotoshoppen; ok,ok,1987-0015$1,"Zanini, Marco*Memphis*Toso Vetri d'Arte",ok,Marco Zanini,ok 2024-06-07,ok 2024-06-07,,
Ianthe/Eva,Italiaans postmodernisme,1987-0017,publiek,ok,,,ok,ok,1987-0017,"Bedin, Martine*Memphis*Flavia Montelupo Eno",ok,Martine Bedin,ok 2022-11-07,ok 2022-11-07,,JA
Ianthe,Italiaans postmodernisme,1990-0056,publiek,ok,,,photoshop; ok,ok,1990-0056$4,"Branzi, Andrea*Memphis",,,,,,
Ianthe/Eva,Italiaans postmodernisme,1990-0057,publiek,ok,,"nieuwe foto na restauratie, in DING",photoshop,x,1990-0057,"Du Pasquier, Nathalie*Memphis",ok,Nathalie Du Pasquier,ok 2022-05-09,ok 2022-05-09,,JA
Ianthe,Italiaans postmodernisme,1990-0058,publiek,ok,,,ok,ok,1990-0058,"Bedin, Martine*Memphis",ok,Martine Bedin,ok 2022-05-31,ok 2022-05-31,,
Ianthe,Italiaans postmodernisme,1990-0060_0-5,publiek,ok,,,photoshoppen; ok maar net te klein,ok,1990-0060_0-5$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2022-11-07,ok 2022-11-07,,
Ianthe,Italiaans postmodernisme,1990-0060_1-5,niet-publiek,ok,,,,ok,1990-0060_1-5$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0060_2-5,niet-publiek,ok,,,,ok,1990-0060_2-5$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0060_3-5,niet-publiek,ok,,,,ok,1990-0060_3-5$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0060_4-5,niet-publiek,ok,,,,ok,1990-0060_4-5$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0060_5-5,niet-publiek,ok,,,,ok,1990-0060_5-5$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0061_0-2,publiek,ok,,,,ok,1990-0061_0-2,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2022-09-22,ok 2022-09-22,,
Ianthe,Italiaans postmodernisme,1990-0061_1-2,niet-publiek,ok,,,,ok,1990-0061_1-2,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0061_2-2,niet-publiek,ok,,,,ok,1990-0061_2-2$1,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,1990-0062_0-4,publiek,ok,,,,ok,1990-0062_0-4,"Thun, Matteo*Memphis",ok,Matteo Thun,ok 2022-09-22,ok 2022-09-22,,
