,object_number,rights,attribution
176,0145,Copyright Status Not Evaluated,
177,0146,Copyright Status Not Evaluated,
178,0149,Copyright Status Not Evaluated,
179,0150,CC0 1.0,
180,0151,CC0 1.0,
181,0152,CC0 1.0,
182,0154,CC0 1.0,
183,0155,CC0 1.0,
184,0157,Copyright Status Not Evaluated,
185,0160,CC0 1.0,
186,0161,Copyright Status Not Evaluated,
187,0162,CC0 1.0,
188,0163,Copyright Status Not Evaluated,
189,0164,Copyright Status Not Evaluated,
190,0165,Copyright Status Not Evaluated,
191,0166,Copyright Status Not Evaluated,
192,0168,CC0 1.0,
193,0169,CC0 1.0,
194,0171,CC0 1.0,
195,0173,CC0 1.0,
196,0174,CC0 1.0,
197,0175,Copyright Status Not Evaluated,
198,0176,CC0 1.0,
199,0177,Copyright Status Not Evaluated,
200,0178,CC0 1.0,
201,0179,Copyright Status Not Evaluated,
202,0180,CC0 1.0,
203,0181,Copyright Status Not Evaluated,
204,0182,Copyright Status Not Evaluated,
205,0183,Copyright Status Not Evaluated,
206,0184,Copyright Status Not Evaluated,
207,0185_0-3,Copyright Status Not Evaluated,
208,0185_1-3,Copyright Status Not Evaluated,
209,0185_2-3,Copyright Status Not Evaluated,
210,0185_3-3,Copyright Status Not Evaluated,
211,0186,CC0 1.0,
212,0190,CC0 1.0,
213,0191,Copyright Status Not Evaluated,
214,0192,CC0 1.0,
215,0193,Copyright Status Not Evaluated,
216,0194,CC0 1.0,
217,0195,CC0 1.0,
218,0196,CC0 1.0,
219,0197,CC0 1.0,
220,0198,CC0 1.0,
221,0199,CC0 1.0,
222,0200,CC0 1.0,
223,0201,CC0 1.0,
224,0202,CC0 1.0,
225,0203,CC0 1.0,
226,0204,CC0 1.0,
227,0205,CC0 1.0,
228,0206,CC0 1.0,
229,0207,CC0 1.0,
230,0208,CC0 1.0,
231,0209,CC0 1.0,
232,0210,CC0 1.0,
233,0211,CC0 1.0,
234,0212,CC0 1.0,
235,0213,CC0 1.0,
236,0214,CC0 1.0,
237,0215,CC0 1.0,
238,0216,CC0 1.0,
239,0217,CC0 1.0,
240,0218,CC0 1.0,
241,0219,CC0 1.0,
242,0220,CC0 1.0,
243,0221,CC0 1.0,
244,0222,CC0 1.0,
245,0223,CC0 1.0,
246,0224,CC0 1.0,
