,object_number,rights,attribution
2853,1976-0237_3-7,In Copyright,Henry Van de Velde
2854,1976-0237_4-7,In Copyright,Henry Van de Velde
2855,1976-0237_5-7,In Copyright,Henry Van de Velde
2856,1976-0237_6-7,In Copyright,Henry Van de Velde
2857,1976-0237_7-7,In Copyright,Henry Van de Velde
2858,1976-0238,In Copyright,Henry Van de Velde
2859,1976-0239,In Copyright,Henry Van de Velde
2860,1976-0240,In Copyright,Henry Van de Velde
2861,1976-0241,In Copyright,Henry Van de Velde
2862,1976-0242,In Copyright,Henry Van de Velde
2863,1976-0243_0-2,In Copyright,Henry Van de Velde
2864,1976-0243_1-2,In Copyright,Henry Van de Velde
2865,1976-0243_2-2,In Copyright,Henry Van de Velde
2866,1976-0244_0-2,In Copyright,Henry Van de Velde
2867,1976-0244_1-2_0,In Copyright,Henry Van de Velde
2868,1976-0244_1-2_1,In Copyright,Henry Van de Velde
2869,1976-0244_1-2_2,In Copyright,Henry Van de Velde
2870,1976-0244_2-2_0,In Copyright,Henry Van de Velde
2871,1976-0244_2-2_1,In Copyright,Henry Van de Velde
2872,1976-0244_2-2_2,In Copyright,Henry Van de Velde
2873,1976-0245,In Copyright,Henry Van de Velde
2874,1976-0246,CC0 1.0,
2875,1976-0247_0,Copyright Status Not Evaluated,
2876,1976-0247_1_0-9,Copyright Status Not Evaluated,
2877,1976-0247_1_1-9,Copyright Status Not Evaluated,
2878,1976-0247_1_2-9,Copyright Status Not Evaluated,
2879,1976-0247_1_3-9,Copyright Status Not Evaluated,
2880,1976-0247_1_4-9,Copyright Status Not Evaluated,
2881,1976-0247_1_5-9,Copyright Status Not Evaluated,
2882,1976-0247_1_6-9,Copyright Status Not Evaluated,
2883,1976-0247_1_7-9,Copyright Status Not Evaluated,
2884,1976-0247_1_8-9,Copyright Status Not Evaluated,
2885,1976-0247_1_9-9,Copyright Status Not Evaluated,
2886,1976-0247_2,CC0 1.0,
2887,1976-0247_3_00-20,Copyright Status Not Evaluated,
2888,1976-0247_3_01-20,Copyright Status Not Evaluated,
2889,1976-0247_3_02-20,Copyright Status Not Evaluated,
2890,1976-0247_3_03-20,Copyright Status Not Evaluated,
2891,1976-0247_3_04-20,Copyright Status Not Evaluated,
2892,1976-0247_3_05-20,Copyright Status Not Evaluated,
2893,1976-0247_3_06-20,Copyright Status Not Evaluated,
2894,1976-0247_3_07-20,Copyright Status Not Evaluated,
2895,1976-0247_3_08-20,Copyright Status Not Evaluated,
2896,1976-0247_3_09-20,Copyright Status Not Evaluated,
2897,1976-0247_3_10-20,Copyright Status Not Evaluated,
2898,1976-0247_3_11-20,Copyright Status Not Evaluated,
2899,1976-0247_3_12-20,Copyright Status Not Evaluated,
2900,1976-0247_3_13-20,Copyright Status Not Evaluated,
2901,1976-0247_3_14-20,Copyright Status Not Evaluated,
2902,1976-0247_3_15-20,Copyright Status Not Evaluated,
2903,1976-0247_3_16-20,Copyright Status Not Evaluated,
2904,1976-0247_3_17-20,Copyright Status Not Evaluated,
2905,1976-0247_3_18-20,Copyright Status Not Evaluated,
2906,1976-0247_3_19-20,Copyright Status Not Evaluated,
2907,1976-0247_3_20-20,Copyright Status Not Evaluated,
2908,1976-0247_4_0-7,Copyright Status Not Evaluated,
2909,1976-0247_4_1-7,Copyright Status Not Evaluated,
2910,1976-0247_4_2-7,Copyright Status Not Evaluated,
2911,1976-0247_4_3-7,Copyright Status Not Evaluated,
2912,1976-0247_4_4-7,Copyright Status Not Evaluated,
2913,1976-0247_4_5-7,Copyright Status Not Evaluated,
2914,1976-0247_4_6-7,Copyright Status Not Evaluated,
2915,1976-0247_4_7-7,Copyright Status Not Evaluated,
2916,1976-0247_5_00-45,Copyright Status Not Evaluated,
2917,1976-0247_5_01-45,Copyright Status Not Evaluated,
2918,1976-0247_5_02-45,Copyright Status Not Evaluated,
2919,1976-0247_5_03-45,Copyright Status Not Evaluated,
2920,1976-0247_5_04-45,Copyright Status Not Evaluated,
2921,1976-0247_5_05-45,Copyright Status Not Evaluated,
2922,1976-0247_5_06-45,Copyright Status Not Evaluated,
2923,1976-0247_5_07-45,Copyright Status Not Evaluated,
2924,1976-0247_5_08-45,Copyright Status Not Evaluated,
2925,1976-0247_5_09-45,Copyright Status Not Evaluated,
2926,1976-0247_5_10-45,Copyright Status Not Evaluated,
2927,1976-0247_5_11-45,Copyright Status Not Evaluated,
2928,1976-0247_5_12-45,Copyright Status Not Evaluated,
2929,1976-0247_5_13-45,Copyright Status Not Evaluated,
2930,1976-0247_5_14-45,Copyright Status Not Evaluated,
2931,1976-0247_5_15-45,Copyright Status Not Evaluated,
2932,1976-0247_5_16-45,Copyright Status Not Evaluated,
2933,1976-0247_5_17-45,Copyright Status Not Evaluated,
2934,1976-0247_5_18-45,Copyright Status Not Evaluated,
2935,1976-0247_5_19-45,Copyright Status Not Evaluated,
2936,1976-0247_5_20-45,Copyright Status Not Evaluated,
2937,1976-0247_5_21-45,Copyright Status Not Evaluated,
2938,1976-0247_5_22-45,Copyright Status Not Evaluated,
2939,1976-0247_5_23-45,Copyright Status Not Evaluated,
2940,1976-0247_5_24-45,Copyright Status Not Evaluated,
2941,1976-0247_5_25-45,Copyright Status Not Evaluated,
2942,1976-0247_5_26-45,Copyright Status Not Evaluated,
2943,1976-0247_5_27-45,Copyright Status Not Evaluated,
2944,1976-0247_5_28-45,Copyright Status Not Evaluated,
2945,1976-0247_5_29-45,Copyright Status Not Evaluated,
2946,1976-0247_5_30-45,Copyright Status Not Evaluated,
2947,1976-0247_5_31-45,Copyright Status Not Evaluated,
2948,1976-0247_5_32-45,Copyright Status Not Evaluated,
2949,1976-0247_5_33-45,Copyright Status Not Evaluated,
2950,1976-0247_5_34-45,Copyright Status Not Evaluated,
2951,1976-0247_5_35-45,Copyright Status Not Evaluated,
2952,1976-0247_5_36-45,Copyright Status Not Evaluated,
2953,1976-0247_5_37-45,Copyright Status Not Evaluated,
2954,1976-0247_5_38-45,Copyright Status Not Evaluated,
2955,1976-0247_5_39-45,Copyright Status Not Evaluated,
2956,1976-0247_5_40-45,Copyright Status Not Evaluated,
2957,1976-0247_5_41-45,Copyright Status Not Evaluated,
2958,1976-0247_5_42-45,Copyright Status Not Evaluated,
2959,1976-0247_5_44-45,Copyright Status Not Evaluated,
2960,1976-0247_5_45-45,Copyright Status Not Evaluated,
2961,1976-0247_6_0-5,Copyright Status Not Evaluated,
2962,1976-0247_6_1-5,Copyright Status Not Evaluated,
2963,1976-0247_6_2-5,Copyright Status Not Evaluated,
2964,1976-0247_6_3-5,Copyright Status Not Evaluated,
2965,1976-0247_6_4-5,Copyright Status Not Evaluated,
2966,1976-0247_6_5-5,Copyright Status Not Evaluated,
2967,1976-0247_7,Copyright Status Not Evaluated,
2968,1976-0247_8,Copyright Status Not Evaluated,
2969,1976-0248,CC BY-NC-ND 4.0,Joost Maréchal
2970,1976-0249,CC BY-NC-ND 4.0,Joost Maréchal
2971,1976-0250,CC BY-NC-ND 4.0,Joost Maréchal
2972,1976-0251,CC BY-NC-ND 4.0,Joost Maréchal
2973,1976-0252,CC BY-NC-ND 4.0,Joost Maréchal
2974,1976-0253,CC BY-NC-ND 4.0,Joost Maréchal
2975,1977,Copyright Status Not Evaluated,
2976,1977-0001_0-3,In Copyright,Henry Van de Velde
2977,1977-0001_1-3,In Copyright,Henry Van de Velde
2978,1977-0001_2-3,In Copyright,Henry Van de Velde
2979,1977-0001_3-3,In Copyright,Henry Van de Velde
2980,1977-0002,CC0 1.0,
2981,1977-0003_0-3,Copyright Status Not Evaluated,
2982,1977-0003_1-3,Copyright Status Not Evaluated,
2983,1977-0003_2-3,Copyright Status Not Evaluated,
2984,1977-0003_3-3,Copyright Status Not Evaluated,
2985,1977-0004_0-2,In Copyright,Henry Van de Velde
2986,1977-0004_1-2,In Copyright,Henry Van de Velde
2987,1977-0004_2-2,In Copyright,Henry Van de Velde
2988,1977-0005_0-3,In Copyright,Henry Van de Velde
2989,1977-0005_1-3,In Copyright,Henry Van de Velde
2990,1977-0005_2-3,In Copyright,Henry Van de Velde
2991,1977-0005_3-3,In Copyright,Henry Van de Velde
2992,1977-0006_0-3,In Copyright,Henry Van de Velde
2993,1977-0006_1-3,In Copyright,Henry Van de Velde
2994,1977-0006_2-3,In Copyright,Henry Van de Velde
2995,1977-0006_3-3,In Copyright,Henry Van de Velde
2996,1977-0007_0-3,In Copyright,Henry Van de Velde
2997,1977-0007_1-3,In Copyright,Henry Van de Velde
2998,1977-0007_2-3,In Copyright,Henry Van de Velde
2999,1977-0007_3-3,In Copyright,Henry Van de Velde
3000,1977-0008,Copyright Status Not Evaluated,
3001,1977-0009_0-2,In Copyright,Henry Van de Velde
3002,1977-0009_1-2,In Copyright,Henry Van de Velde
3003,1977-0009_2-2,In Copyright,Henry Van de Velde
3004,1977-0011,CC0 1.0,
3005,1977-0012,CC0 1.0,
3006,1977-0013,CC0 1.0,
3007,1977-0014,CC0 1.0,
3008,1977-0015,CC0 1.0,
3009,1977-0016_00-40,CC0 1.0,
3010,1977-0016_01-40,CC0 1.0,
3011,1977-0016_02-40,CC0 1.0,
3012,1977-0016_03-40,CC0 1.0,
3013,1977-0016_04-40,CC0 1.0,
3014,1977-0016_05-40,CC0 1.0,
3015,1977-0016_06-40,CC0 1.0,
3016,1977-0016_07-40,CC0 1.0,
3017,1977-0016_08-40,CC0 1.0,
3018,1977-0016_09-40,CC0 1.0,
3019,1977-0016_10-40,CC0 1.0,
3020,1977-0016_11-40,CC0 1.0,
3021,1977-0016_12-40,CC0 1.0,
3022,1977-0016_13-40,CC0 1.0,
3023,1977-0016_14-40,CC0 1.0,
3024,1977-0016_15-40,CC0 1.0,
3025,1977-0016_16-40,CC0 1.0,
3026,1977-0016_17-40,CC0 1.0,
3027,1977-0016_18-40,CC0 1.0,
3028,1977-0016_19-40,CC0 1.0,
3029,1977-0016_20-40,CC0 1.0,
3030,1977-0016_21-40,CC0 1.0,
3031,1977-0016_22-40,CC0 1.0,
3032,1977-0016_23-40,CC0 1.0,
3033,1977-0016_24-40,CC0 1.0,
3034,1977-0016_25-40,CC0 1.0,
3035,1977-0016_26-40,CC0 1.0,
3036,1977-0016_27-40,CC0 1.0,
3037,1977-0016_28-40,CC0 1.0,
3038,1977-0016_29-40,CC0 1.0,
3039,1977-0016_30-40,CC0 1.0,
3040,1977-0016_31-40,CC0 1.0,
3041,1977-0016_32-40,CC0 1.0,
3042,1977-0016_33-40,CC0 1.0,
3043,1977-0016_34-40,CC0 1.0,
3044,1977-0016_35-40,CC0 1.0,
3045,1977-0016_36-40,CC0 1.0,
3046,1977-0016_37-40,CC0 1.0,
3047,1977-0016_38-40,CC0 1.0,
3048,1977-0016_39-40,CC0 1.0,
3049,1977-0016_40-40,CC0 1.0,
3050,1977-0017,Copyright Status Not Evaluated,
3051,1977-0018_0-9,In Copyright,Charles Van Beerleire
3052,1977-0018_1-9,In Copyright,Charles Van Beerleire
3053,1977-0018_2-9,In Copyright,Charles Van Beerleire
3054,1977-0018_3-9,In Copyright,Charles Van Beerleire
3055,1977-0018_4-9,In Copyright,Charles Van Beerleire
3056,1977-0018_5-9,In Copyright,Charles Van Beerleire
3057,1977-0018_6-9,In Copyright,Charles Van Beerleire
3058,1977-0018_7-9,In Copyright,Charles Van Beerleire
3059,1977-0018_8-9,In Copyright,Charles Van Beerleire
3060,1977-0018_9-9,In Copyright,Charles Van Beerleire
3061,1977-0019_0-3,CC BY-NC-ND 4.0,Octave Landuyt
3062,1977-0019_1-3,CC BY-NC-ND 4.0,Octave Landuyt
3063,1977-0019_2-3,CC BY-NC-ND 4.0,Octave Landuyt
3064,1977-0019_3-3,CC BY-NC-ND 4.0,Octave Landuyt
3065,1977-0020,CC BY-NC-ND 4.0,Richard De Meyer
3066,1977-0021_0-2,CC BY-NC-ND 4.0,Richard De Meyer
3067,1977-0021_1-2,CC BY-NC-ND 4.0,Richard De Meyer
3068,1977-0021_2-2,CC BY-NC-ND 4.0,Richard De Meyer
3069,1977-0022,CC BY-NC-ND 4.0,Richard De Meyer
3070,1977-0023,CC BY-NC-ND 4.0,Richard De Meyer
3071,1977-0024,CC BY-NC-ND 4.0,Richard De Meyer
3072,1977-0025,CC BY-NC-ND 4.0,Richard De Meyer
3073,1977-0026,Copyright Status Not Evaluated,
3074,1977-0027,Copyright Status Not Evaluated,
3075,1977-0028,CC BY-NC-ND 4.0,Richard De Meyer
3076,1977-0029,Copyright Undetermined,
3077,1977-0030,In Copyright,Henry Van de Velde
3078,1977-0031,CC0 1.0,
3079,1977-0032,CC0 1.0,
3080,1977-0033,Copyright Status Not Evaluated,
3081,1977-0034,Copyright Status Not Evaluated,
3082,1977-0035,Copyright Status Not Evaluated,
3083,1977-0036,Copyright Status Not Evaluated,
3084,1977-0037,Copyright Status Not Evaluated,
3085,1977-0038,Copyright Status Not Evaluated,
3086,1977-0039,Copyright Status Not Evaluated,
3087,1977-0040,Copyright Status Not Evaluated,
3088,1977-0041,Copyright Status Not Evaluated,
3089,1977-0042,Copyright Status Not Evaluated,
3090,1977-0043,Copyright Status Not Evaluated,
3091,1977-0044,Copyright Status Not Evaluated,
3092,1977-0045,Copyright Status Not Evaluated,
3093,1977-0046,Copyright Status Not Evaluated,
3094,1977-0047,Copyright Status Not Evaluated,
3095,1977-0048,Copyright Status Not Evaluated,
3096,1977-0049_0-3,Copyright Status Not Evaluated,
3097,1977-0049_1-3,Copyright Status Not Evaluated,
3098,1977-0049_2-3,Copyright Status Not Evaluated,
3099,1977-0049_3-3,Copyright Status Not Evaluated,
3100,1977-0050,CC0 1.0,
3101,1977-0051,Copyright Status Not Evaluated,
3102,1977-0052,Copyright Status Not Evaluated,
3103,1977-0053,Copyright Status Not Evaluated,
3104,1977-0054,Copyright Status Not Evaluated,
3105,1977-0055,Copyright Status Not Evaluated,
3106,1977-0056,Copyright Status Not Evaluated,
3107,1977-0057,Copyright Status Not Evaluated,
3108,1977-0058,Copyright Status Not Evaluated,
3109,1977-0059_0-2,Copyright Status Not Evaluated,
3110,1977-0059_1-2,Copyright Status Not Evaluated,
3111,1977-0059_2-2,Copyright Status Not Evaluated,
3112,1977-0060,CC0 1.0,
3113,1977-0061,Copyright Status Not Evaluated,
3114,1977-0062,Copyright Status Not Evaluated,
3115,1977-0063,CC0 1.0,
3116,1977-0064,Copyright Status Not Evaluated,
3117,1977-0065,Copyright Status Not Evaluated,
3118,1977-0066,Copyright Status Not Evaluated,
3119,1977-0067,Copyright Status Not Evaluated,
3120,1977-0068,Copyright Status Not Evaluated,
3121,1977-0069,CC0 1.0,
3122,1977-0070,Copyright Status Not Evaluated,
3123,1977-0071,CC0 1.0,
3124,1977-0072,Copyright Status Not Evaluated,
3125,1977-0073,Copyright Status Not Evaluated,
3126,1977-0074,Copyright Status Not Evaluated,
3127,1977-0075,Copyright Status Not Evaluated,
3128,1977-0076,Copyright Status Not Evaluated,
3129,1977-0077,Copyright Status Not Evaluated,
3130,1977-0078,Copyright Status Not Evaluated,
3131,1977-0079,Copyright Status Not Evaluated,
3132,1977-0080,Copyright Status Not Evaluated,
3133,1977-0081,Copyright Status Not Evaluated,
3134,1977-0082,Copyright Status Not Evaluated,
3135,1977-0083,Copyright Status Not Evaluated,
3136,1977-0084,CC0 1.0,
3137,1977-0085,Copyright Status Not Evaluated,
3138,1977-0086_00-15,CC0 1.0,
3139,1977-0086_01-15,CC0 1.0,
3140,1977-0086_02-15_0,CC0 1.0,
3141,1977-0086_02-15_1,CC0 1.0,
3142,1977-0086_02-15_2,CC0 1.0,
3143,1977-0086_03-15,CC0 1.0,
3144,1977-0086_04-15,CC0 1.0,
3145,1977-0086_05-15,CC0 1.0,
3146,1977-0086_06-15,CC0 1.0,
3147,1977-0086_07-15,CC0 1.0,
3148,1977-0086_08-15,CC0 1.0,
3149,1977-0086_09-15,CC0 1.0,
3150,1977-0086_10-15,CC0 1.0,
3151,1977-0086_11-15,CC0 1.0,
3152,1977-0086_12-15,CC0 1.0,
3153,1977-0086_13-15,CC0 1.0,
3154,1977-0086_14-15,CC0 1.0,
3155,1977-0086_15-15,CC0 1.0,
3156,1977-0087,CC0 1.0,
3157,1977-0088,CC0 1.0,
3158,1977-0089_0-7,Copyright Status Not Evaluated,
3159,1977-0089_1-7,Copyright Status Not Evaluated,
3160,1977-0089_2-7,Copyright Status Not Evaluated,
3161,1977-0089_3-7,Copyright Status Not Evaluated,
3162,1977-0089_4-7,Copyright Status Not Evaluated,
3163,1977-0089_5-7,Copyright Status Not Evaluated,
3164,1977-0089_6-7,Copyright Status Not Evaluated,
3165,1977-0089_7-7,Copyright Status Not Evaluated,
3166,1977-0090_ROOD,CC0 1.0,
3167,1977-0091_000-108,Copyright Status Not Evaluated,
3168,1977-0091_001-108,Copyright Status Not Evaluated,
3169,1977-0091_002-108,Copyright Status Not Evaluated,
3170,1977-0091_003-108,Copyright Status Not Evaluated,
3171,1977-0091_004-108,Copyright Status Not Evaluated,
3172,1977-0091_005-108,Copyright Status Not Evaluated,
3173,1977-0091_006-108,Copyright Status Not Evaluated,
3174,1977-0091_007-108,Copyright Status Not Evaluated,
3175,1977-0091_008-108,Copyright Status Not Evaluated,
3176,1977-0091_009-108,Copyright Status Not Evaluated,
3177,1977-0091_010-108,Copyright Status Not Evaluated,
3178,1977-0091_011-108,Copyright Status Not Evaluated,
3179,1977-0091_012-108,Copyright Status Not Evaluated,
3180,1977-0091_013-108,Copyright Status Not Evaluated,
3181,1977-0091_014-108,Copyright Status Not Evaluated,
3182,1977-0091_015-108,Copyright Status Not Evaluated,
3183,1977-0091_016-108,Copyright Status Not Evaluated,
3184,1977-0091_017-108,Copyright Status Not Evaluated,
3185,1977-0091_018-108,Copyright Status Not Evaluated,
3186,1977-0091_019-108,Copyright Status Not Evaluated,
3187,1977-0091_020-108,Copyright Status Not Evaluated,
3188,1977-0091_021-108,Copyright Status Not Evaluated,
3189,1977-0091_022-108,Copyright Status Not Evaluated,
3190,1977-0091_023-108,Copyright Status Not Evaluated,
3191,1977-0091_024-108,Copyright Status Not Evaluated,
3192,1977-0091_025-108,Copyright Status Not Evaluated,
3193,1977-0091_026-108,Copyright Status Not Evaluated,
3194,1977-0091_027-108,Copyright Status Not Evaluated,
3195,1977-0091_028-108,Copyright Status Not Evaluated,
3196,1977-0091_029-108,Copyright Status Not Evaluated,
3197,1977-0091_030-108,Copyright Status Not Evaluated,
3198,1977-0091_031-108,Copyright Status Not Evaluated,
3199,1977-0091_032-108,Copyright Status Not Evaluated,
3200,1977-0091_033-108,Copyright Status Not Evaluated,
3201,1977-0091_034-108,Copyright Status Not Evaluated,
3202,1977-0091_035-108,Copyright Status Not Evaluated,
3203,1977-0091_036-108,Copyright Status Not Evaluated,
3204,1977-0091_037-108,Copyright Status Not Evaluated,
3205,1977-0091_038-108,Copyright Status Not Evaluated,
3206,1977-0091_039-108,Copyright Status Not Evaluated,
3207,1977-0091_040-108,Copyright Status Not Evaluated,
3208,1977-0091_041-108,Copyright Status Not Evaluated,
3209,1977-0091_042-108,Copyright Status Not Evaluated,
3210,1977-0091_043-108,Copyright Status Not Evaluated,
3211,1977-0091_044-108,Copyright Status Not Evaluated,
3212,1977-0091_045-108,Copyright Status Not Evaluated,
3213,1977-0091_046-108,Copyright Status Not Evaluated,
3214,1977-0091_047-108,Copyright Status Not Evaluated,
3215,1977-0091_048-108,Copyright Status Not Evaluated,
3216,1977-0091_049-108,Copyright Status Not Evaluated,
3217,1977-0091_050-108,Copyright Status Not Evaluated,
3218,1977-0091_051-108,Copyright Status Not Evaluated,
3219,1977-0091_052-108,Copyright Status Not Evaluated,
3220,1977-0091_053-108,Copyright Status Not Evaluated,
3221,1977-0091_054-108,Copyright Status Not Evaluated,
3222,1977-0091_055-108,Copyright Status Not Evaluated,
3223,1977-0091_056-108,Copyright Status Not Evaluated,
3224,1977-0091_057-108,Copyright Status Not Evaluated,
3225,1977-0091_058-108,Copyright Status Not Evaluated,
3226,1977-0091_059-108,Copyright Status Not Evaluated,
3227,1977-0091_060-108,Copyright Status Not Evaluated,
3228,1977-0091_061-108,Copyright Status Not Evaluated,
3229,1977-0091_062-108,Copyright Status Not Evaluated,
3230,1977-0091_063-108,Copyright Status Not Evaluated,
3231,1977-0091_064-108,Copyright Status Not Evaluated,
3232,1977-0091_065-108,Copyright Status Not Evaluated,
3233,1977-0091_066-108,Copyright Status Not Evaluated,
3234,1977-0091_067-108,Copyright Status Not Evaluated,
3235,1977-0091_068-108,Copyright Status Not Evaluated,
3236,1977-0091_069-108,Copyright Status Not Evaluated,
3237,1977-0091_070-108,Copyright Status Not Evaluated,
3238,1977-0091_071-108,Copyright Status Not Evaluated,
3239,1977-0091_072-108,Copyright Status Not Evaluated,
3240,1977-0091_073-108,Copyright Status Not Evaluated,
3241,1977-0091_074-108,Copyright Status Not Evaluated,
3242,1977-0091_075-108,Copyright Status Not Evaluated,
3243,1977-0091_076-108,Copyright Status Not Evaluated,
3244,1977-0091_077-108,Copyright Status Not Evaluated,
3245,1977-0091_078-108,Copyright Status Not Evaluated,
3246,1977-0091_079-108,Copyright Status Not Evaluated,
3247,1977-0091_080-108,Copyright Status Not Evaluated,
3248,1977-0091_081-108,Copyright Status Not Evaluated,
3249,1977-0091_082-108,Copyright Status Not Evaluated,
3250,1977-0091_083-108,Copyright Status Not Evaluated,
3251,1977-0091_084-108,Copyright Status Not Evaluated,
3252,1977-0091_085-108,Copyright Status Not Evaluated,
3253,1977-0091_086-108,Copyright Status Not Evaluated,
3254,1977-0091_087-108,Copyright Status Not Evaluated,
3255,1977-0091_088-108,Copyright Status Not Evaluated,
3256,1977-0091_089-108,Copyright Status Not Evaluated,
3257,1977-0091_090-108,Copyright Status Not Evaluated,
3258,1977-0091_091-108,Copyright Status Not Evaluated,
3259,1977-0091_092-108,Copyright Status Not Evaluated,
3260,1977-0091_093-108,Copyright Status Not Evaluated,
3261,1977-0091_094-108,Copyright Status Not Evaluated,
3262,1977-0091_095-108,Copyright Status Not Evaluated,
3263,1977-0091_096-108,Copyright Status Not Evaluated,
3264,1977-0091_097-108,Copyright Status Not Evaluated,
3265,1977-0091_098-108,Copyright Status Not Evaluated,
3266,1977-0091_099-108,Copyright Status Not Evaluated,
3267,1977-0091_100-108,Copyright Status Not Evaluated,
3268,1977-0091_101-108,Copyright Status Not Evaluated,
3269,1977-0091_102-108,Copyright Status Not Evaluated,
3270,1977-0091_103-108,Copyright Status Not Evaluated,
3271,1977-0091_104-108,Copyright Status Not Evaluated,
3272,1977-0091_105-108,Copyright Status Not Evaluated,
3273,1977-0091_106-108,Copyright Status Not Evaluated,
3274,1977-0091_107-108,Copyright Status Not Evaluated,
3275,1977-0091_108-108,Copyright Status Not Evaluated,
3276,1977-0092,CC BY-NC-ND 4.0,Sonia Delaunay
3277,1977-0093,CC BY-NC-ND 4.0,Sonia Delaunay
3278,1977-0094,CC BY-NC-ND 4.0,Sonia Delaunay
3279,1977-0095_0,CC0 1.0,
3280,1977-0095_1,CC0 1.0,
3281,1977-0095_2,CC0 1.0,
3282,1977-0096,CC0 1.0,
3283,1977-0097,CC0 1.0,
3284,1978,CC0 1.0,
3285,1978-0008,In Copyright,Henry Van de Velde
3286,1978-0009,Copyright Status Not Evaluated,
3287,1978-0010,CC0 1.0,
3288,1978-0011,CC0 1.0,
3289,1978-0012,CC0 1.0,
3290,1978-0013,CC0 1.0,
3291,1978-0014,CC0 1.0,
3292,1978-0015,CC0 1.0,
3293,1978-0016,CC0 1.0,
3294,1978-0017,Copyright Status Not Evaluated,
3295,1978-0018,CC0 1.0,
3296,1978-0019,Copyright Status Not Evaluated,
3297,1978-0020,CC0 1.0,
3298,1978-0021,CC0 1.0,
3299,1978-0022,CC0 1.0,
3300,1978-0023,CC0 1.0,
3301,1978-0024_0-2,CC0 1.0,
3302,1978-0024_1-2,CC0 1.0,
3303,1978-0024_2-2,Copyright Status Not Evaluated,
3304,1978-0025,Copyright Status Not Evaluated,
3305,1978-0026,Copyright Status Not Evaluated,
3306,1978-0027,Copyright Status Not Evaluated,
3307,1978-0028_0-3,Copyright Status Not Evaluated,
3308,1978-0028_1-3,Copyright Status Not Evaluated,
3309,1978-0028_2-3,Copyright Status Not Evaluated,
3310,1978-0028_3-3,Copyright Status Not Evaluated,
3311,1978-0029,Copyright Status Not Evaluated,
3312,1978-0030,CC0 1.0,
3313,1978-0031,CC0 1.0,
3314,1978-0032,CC0 1.0,
3315,1978-0033,CC0 1.0,
3316,1978-0034,Copyright Status Not Evaluated,
3317,1978-0035,CC0 1.0,
3318,1978-0036,CC0 1.0,
3319,1978-0037_0-4,CC0 1.0,
3320,1978-0037_1-4,CC0 1.0,
3321,1978-0037_2-4,CC0 1.0,
3322,1978-0037_3-4,CC0 1.0,
3323,1978-0037_4-4,CC0 1.0,
3324,1978-0038,CC0 1.0,
3325,1978-0039,CC0 1.0,
3326,1978-0040,CC0 1.0,
3327,1978-0041,Copyright Undetermined,
3328,1978-0042,Copyright Undetermined,
3329,1978-0043_0-2,CC0 1.0,
3330,1978-0043_1-2,CC0 1.0,
3331,1978-0043_2-2,CC0 1.0,
3332,1978-0044,Copyright Status Not Evaluated,
3333,1978-0045_0,Copyright Status Not Evaluated,
3334,1978-0045_1,Copyright Status Not Evaluated,
3335,1978-0045_2,Copyright Status Not Evaluated,
3336,1978-0045_3,Copyright Status Not Evaluated,
3337,1978-0045_4,Copyright Status Not Evaluated,
3338,1978-0046,Copyright Status Not Evaluated,
3339,1978-0047,Copyright Status Not Evaluated,
3340,1978-0048,Copyright Status Not Evaluated,
3341,1978-0049,CC0 1.0,
3342,1978-0050_0-2,CC0 1.0,
3343,1978-0050_1-2,CC0 1.0,
3344,1978-0050_2-2,CC0 1.0,
3345,1978-0051_00-14,CC BY-NC-ND 4.0,Huib Hoste
3346,1978-0051_01-14,CC BY-NC-ND 4.0,Huib Hoste
3347,1978-0051_02-14,CC BY-NC-ND 4.0,Huib Hoste
3348,1978-0051_03-14,CC BY-NC-ND 4.0,Huib Hoste
3349,1978-0051_04-14,CC BY-NC-ND 4.0,Huib Hoste
3350,1978-0051_05-14,CC BY-NC-ND 4.0,Huib Hoste
3351,1978-0051_06-14,CC BY-NC-ND 4.0,Huib Hoste
3352,1978-0051_07-14,CC BY-NC-ND 4.0,Huib Hoste
3353,1978-0051_08-14,CC BY-NC-ND 4.0,Huib Hoste
3354,1978-0051_09-14,CC BY-NC-ND 4.0,Huib Hoste
3355,1978-0051_10-14,CC BY-NC-ND 4.0,Huib Hoste
3356,1978-0051_11-14,CC BY-NC-ND 4.0,Huib Hoste
3357,1978-0051_12-14_0,CC BY-NC-ND 4.0,Huib Hoste
3358,1978-0051_12-14_1,CC BY-NC-ND 4.0,Huib Hoste
3359,1978-0051_12-14_2,CC BY-NC-ND 4.0,Huib Hoste
3360,1978-0051_13-14,CC BY-NC-ND 4.0,Huib Hoste
3361,1978-0051_14-14,CC BY-NC-ND 4.0,Huib Hoste
3362,1978-0052,CC0 1.0,
3363,1978-0053,CC0 1.0,
3364,1978-0054,CC0 1.0,
3365,1978-0055,CC0 1.0,
3366,1978-0056,CC0 1.0,
3367,1978-0057,CC0 1.0,
3368,1978-0058,CC0 1.0,
3369,1978-0059,CC0 1.0,
3370,1978-0060,CC0 1.0,
3371,1978-0061,CC0 1.0,
3372,1978-0062,CC0 1.0,
3373,1978-0063,CC0 1.0,
3374,1978-0064,CC0 1.0,
3375,1978-0065,CC0 1.0,
3376,1978-0066,CC0 1.0,
3377,1978-0067,CC0 1.0,
3378,1978-0068,CC0 1.0,
3379,1978-0069_0-2,Copyright Status Not Evaluated,
3380,1978-0069_1-2,Copyright Status Not Evaluated,
3381,1978-0069_2-2,Copyright Status Not Evaluated,
