raw,prefix,filename,object_number,clean
0001_0-2/0001$2.JPG,0001_0-2,0001$2.JPG,0001,0001$2.JPG
0001_0-2/0001_0-2.jpg,0001_0-2,0001_0-2.jpg,0001_0-2,0001_0-2.jpg
0001_0-2/0001_1-2$2.jpg,0001_0-2,0001_1-2$2.jpg,0001_1-2,0001_1-2$2.jpg
